index,state,county,no_01,no_02,no_03,no_other,yes_01,yes_02,yes_03,yes_other,evac
1776,LA,st. john the baptist parish,,,,,advice from friend or relative,,,,"yes, evacuated"
1777,AL,baldwin county,29,,,I WASN'T SCARED OF THE STORM,,,,,"no, did not evacuate"
1778,LA,plaquemines parish,,,,,concerned storm would cause home to flood,concerned strong winds would make house unsafe,,,"yes, evacuated"
1779,LA,plaquemines parish,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1780,LA,st. bernard parish,,,,,experience in other storms,,,,"yes, evacuated"
1781,MS,hancock county,29,,,COULDN'T I'M A NURSE,,,,,"no, did not evacuate"
1782,MS,harrison county,13,,,,,,,,"no, did not evacuate"
1783,MS,harrison county,12,,,,,,,,"no, did not evacuate"
1784,LA,st. john the baptist parish,,,,,"other, specify",,,YOU CAN REPLACE THE HOME REPLACE MATERIAL THINGSCANNOTREPLACELIVESSOWELEFT,"yes, evacuated"
1785,MS,jackson county,6,,,,,,,,"no, did not evacuate"
1786,LA,st. charles parish,,,,,information about the severity of the storm,,,,"yes, evacuated"
1787,LA,st. charles parish,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1788,MS,hancock county,29,,,THE EXPENSE OF TRAVELING.,,,,,"no, did not evacuate"
1789,LA,jefferson parish,,,,,advice from the media,,,,"yes, evacuated"
1790,LA,plaquemines parish,,,,,probability (odds) were high that the storm could hit,forecast indicated storm could hit,forecast indicated storm would hit,,"yes, evacuated"
1791,MS,harrison county,,,,,advice or order by elected officials,,,,"yes, evacuated"
1792,MS,hancock county,,,,,experience in other storms,,,,"yes, evacuated"
1793,AL,mobile county,29,,,I'VE NEVER HAD,,,,,"no, did not evacuate"
1794,MS,hancock county,7,no place to take pets/shelter would not accept pets,,,,,,,"no, did not evacuate"
1795,LA,st. bernard parish,,,,,advice from the media,,,,"yes, evacuated"
1796,LA,st. charles parish,6,,,,,,,,"no, did not evacuate"
1797,LA,st. charles parish,,,,,advice from friend or relative,,,,"yes, evacuated"
1798,AL,baldwin county,,,,,"other, specify",,,TO BE SAFER,"yes, evacuated"
1799,MS,hancock county,,,,,advice or order by public safety officials,,,,"yes, evacuated"
1800,LA,jefferson parish,7,,,,,,,,"no, did not evacuate"
1801,LA,st. bernard parish,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
1802,LA,st. tammany parish,,,,,advice from the media,,,,"yes, evacuated"
1803,MS,jackson county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1804,AL,mobile county,24,,,,,,,,"no, did not evacuate"
1805,LA,st. bernard parish,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
1806,MS,harrison county,,,,,advice from national weather service,,,,"yes, evacuated"
1807,MS,hancock county,,,,,advice or order by elected officials,advice or order by public safety officials,information about the severity of the storm,,"yes, evacuated"
1808,AL,mobile county,,,,,experience in other storms,,,,"yes, evacuated"
1809,AL,mobile county,6,probabilities indicated low chance of a hit,,,,,,,"no, did not evacuate"
1810,LA,plaquemines parish,,,,,"other, specify",,,EMPLOYMENT,"yes, evacuated"
1811,LA,jefferson parish,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
1812,MS,harrison county,,,,,information about the severity of the storm,,,,"yes, evacuated"
1813,MS,jackson county,,,,,concerned that storm might hit,,,,"yes, evacuated"
1814,LA,st. tammany parish,,,,,"other, specify",,,I WAS ILL AND SHE INSISTED,"yes, evacuated"
1815,MS,jackson county,6,home is elevated above the level of storm surge,,,,,,,"no, did not evacuate"
1816,MS,harrison county,21,,,,,,,,"no, did not evacuate"
1817,AL,baldwin county,,,,,advice or order by public safety officials,,,,"yes, evacuated"
1818,LA,st. charles parish,21,,,,,,,,"no, did not evacuate"
1819,LA,st. charles parish,21,,,,,,,,"no, did not evacuate"
1820,AL,baldwin county,6,,,,,,,,"no, did not evacuate"
1821,MS,jackson county,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
1822,MS,jackson county,16,storm wasn't severe enough to be dangerous even if it hit,,,,,,,"no, did not evacuate"
1823,LA,st. charles parish,,,,,"other, specify",,,I WANTED TO LEAVE EARLY TO AVOID TRAFFIC,"yes, evacuated"
1824,LA,st. tammany parish,,,,,concerned that storm might hit,,,,"yes, evacuated"
1825,LA,st. tammany parish,6,,,,,,,,"no, did not evacuate"
1826,MS,jackson county,,,,,information about the severity of the storm,,,,"yes, evacuated"
1827,MS,hancock county,,,,,information about the severity of the storm,advice from national weather service,,,"yes, evacuated"
1828,LA,st. tammany parish,21,,,,,,,,"no, did not evacuate"
1829,LA,st. tammany parish,1,,,,,,,,"no, did not evacuate"
1830,LA,plaquemines parish,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
1831,AL,baldwin county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1832,MS,hancock county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1833,LA,plaquemines parish,,,,,concerned flooding would cut off roads ,,,,"yes, evacuated"
1834,LA,st. john the baptist parish,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
1835,LA,st. john the baptist parish,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
1836,MS,jackson county,6,,,,,,,,"no, did not evacuate"
1837,MS,jackson county,,,,,"other, specify",,,REPORT TO WORK,"yes, evacuated"
1838,MS,hancock county,,,,,concerned that storm might hit,,,,"yes, evacuated"
1839,LA,jefferson parish,21,,,,,,,,"no, did not evacuate"
1840,MS,jackson county,,,,,advice from national weather service,concerned storm would cause home to flood,information about the severity of the storm,,"yes, evacuated"
1841,MS,harrison county,,,,,advice from national weather service,,,,"yes, evacuated"
1842,AL,baldwin county,,,,,experience in other storms,,,,"yes, evacuated"
1843,LA,orleans parish,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1844,LA,st. bernard parish,,,,,"other, specify",,,WIFE AND GRANDKIDS CONVINCED ME,"yes, evacuated"
1845,AL,baldwin county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1846,LA,jefferson parish,6,,,,,,,,"no, did not evacuate"
1847,MS,hancock county,,,,,advice or order by public safety officials,,,,"yes, evacuated"
1848,LA,orleans parish,4,,,,,,,,"no, did not evacuate"
1849,LA,st. bernard parish,29,,,JUST WANTED TO STAY,,,,,"no, did not evacuate"
1850,AL,mobile county,29,,,I ALWAYS STAY HOME,,,,,"no, did not evacuate"
1851,MS,jackson county,4,,,,,,,,"no, did not evacuate"
1852,LA,jefferson parish,24,,,,,,,,"no, did not evacuate"
1853,AL,mobile county,1,,,,,,,,"no, did not evacuate"
1854,MS,harrison county,6,,,,,,,,"no, did not evacuate"
1855,LA,st. bernard parish,,,,,experience in other storms,,,,"yes, evacuated"
1856,LA,st. charles parish,21,,,,,,,,"no, did not evacuate"
1857,MS,jackson county,,,,,advice or order by elected officials,,,,"yes, evacuated"
1858,LA,jefferson parish,21,,,,,,,,"no, did not evacuate"
1859,LA,orleans parish,21,storm wasn't severe enough to be dangerous even if it hit,,,,,,,"no, did not evacuate"
1860,LA,jefferson parish,,,,,advice or order by elected officials,concerned that storm might hit,loss of utilities--family member with special needs,,"yes, evacuated"
1861,MS,jackson county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1862,LA,st. tammany parish,4,,,,,,,,"no, did not evacuate"
1863,LA,st. john the baptist parish,1,,,,,,,,"no, did not evacuate"
1864,MS,hancock county,13,,,,,,,,"no, did not evacuate"
1865,AL,mobile county,7,,,,,,,,"no, did not evacuate"
1866,LA,orleans parish,,,,,advice or order by public safety officials,,,,"yes, evacuated"
1867,LA,st. bernard parish,,,,,advice from the media,forecast indicated storm would hit,,,"yes, evacuated"
1868,MS,hancock county,30,,,,,,,,"no, did not evacuate"
1869,LA,jefferson parish,1,,,,,,,,"no, did not evacuate"
1870,MS,jackson county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1871,MS,harrison county,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
1872,MS,hancock county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
1873,LA,st. john the baptist parish,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1874,LA,plaquemines parish,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
1875,LA,jefferson parish,,,,,experience in other storms,,,,"yes, evacuated"
1876,LA,plaquemines parish,,,,,advice or order by elected officials,,,,"yes, evacuated"
1877,LA,st. bernard parish,,,,,advice from friend or relative,,,,"yes, evacuated"
1878,MS,hancock county,6,,,,,,,,"no, did not evacuate"
1879,AL,mobile county,24,,,,,,,,"no, did not evacuate"
1880,LA,st. tammany parish,1,,,,,,,,"no, did not evacuate"
1881,MS,jackson county,1,,,,,,,,"no, did not evacuate"
1882,LA,st. john the baptist parish,21,,,,,,,,"no, did not evacuate"
1883,LA,st. charles parish,,,,,advice from friend or relative,,,,"yes, evacuated"
1884,LA,st. bernard parish,,,,,information about the severity of the storm,,,,"yes, evacuated"
1885,LA,plaquemines parish,1,,,,,,,,"no, did not evacuate"
1886,LA,st. bernard parish,,,,,probability (odds) were high that the storm could hit,,,,"yes, evacuated"
1887,AL,mobile county,,,,,"other, specify",,,COMON SENSE,"yes, evacuated"
1888,AL,mobile county,1,,,,,,,,"no, did not evacuate"
1889,LA,st. john the baptist parish,21,,,,,,,,"no, did not evacuate"
1890,LA,st. tammany parish,,,,,advice from friend or relative,,,,"yes, evacuated"
1891,LA,orleans parish,29,,,NEVER THOUGHT ABOUT LEAVING,,,,,"no, did not evacuate"
1892,LA,st. john the baptist parish,29,,,MY HUSBAND IS SICK SO WE HAD TO STAY HERE,,,,,"no, did not evacuate"
1893,LA,st. charles parish,29,,,I WENT THROUGHT BETSY(HURRICANNE) AND I PREFFERED TO STAY HOME,,,,,"no, did not evacuate"
1894,LA,jefferson parish,21,,,,,,,,"no, did not evacuate"
1895,MS,harrison county,,,,,concerned about possible tornados,,,,"yes, evacuated"
1896,LA,st. bernard parish,,,,,advice from the media,,,,"yes, evacuated"
1897,MS,harrison county,6,,,,,,,,"no, did not evacuate"
1898,AL,baldwin county,14,traffic too bad,,,,,,,"no, did not evacuate"
1899,LA,plaquemines parish,,,,,advice from the media,,,,"yes, evacuated"
1900,AL,baldwin county,,,,,probability (odds) were high that the storm could hit,,,,"yes, evacuated"
1901,MS,harrison county,,,,,"other, specify",,,FEAR OF GETTING KILLED,"yes, evacuated"
1902,LA,jefferson parish,29,,,KEPT TRACK OF IT,,,,,"no, did not evacuate"
1903,LA,jefferson parish,,,,,forecast indicated storm would hit,advice from friend or relative,advice or order by elected officials,,"yes, evacuated"
1904,LA,orleans parish,29,,,IT WAS HARD TO GET OUT,,,,,"no, did not evacuate"
1905,LA,jefferson parish,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
1906,LA,jefferson parish,29,,,CAR BROKE DOWN,,,,,"no, did not evacuate"
1907,MS,jackson county,,,,,forecast indicated storm would hit,concerned that storm might hit,,,"yes, evacuated"
1908,AL,mobile county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1909,LA,orleans parish,,,,,advice from the media,,,,"yes, evacuated"
1910,LA,st. bernard parish,27,,,,,,,,"no, did not evacuate"
1911,LA,st. john the baptist parish,29,,,I ALWAYS STAY HOME DURING HURRICANES; I DON'T LEAVE I GOT TOO MUCH TO LOSE,,,,,"no, did not evacuate"
1912,LA,st. john the baptist parish,27,,,,,,,,"no, did not evacuate"
1913,LA,st. bernard parish,,,,,concerned that storm might hit,,,,"yes, evacuated"
1914,MS,hancock county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
1915,LA,plaquemines parish,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
1916,LA,st. john the baptist parish,21,,,,,,,,"no, did not evacuate"
1917,LA,st. tammany parish,16,,,,,,,,"no, did not evacuate"
1918,AL,mobile county,,,,,information about the severity of the storm,"other, specify",,RED CROSS SHELTER WORKER,"yes, evacuated"
1919,MS,harrison county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1920,MS,jackson county,29,,,I ALWAYS STAY HOME NO MATTER WHAT,,,,,"no, did not evacuate"
1921,LA,jefferson parish,1,,,,,,,,"no, did not evacuate"
1922,LA,jefferson parish,30,,,,,,,,"no, did not evacuate"
1923,MS,harrison county,7,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
1924,AL,baldwin county,,,,,"other, specify",,,BECAUSE RELATIVES HAVE GENERATORS IN THEIR BASEMENT,"yes, evacuated"
1925,LA,st. tammany parish,,,,,"other, specify",,,SEEING EVERYONE ELSE LEAVING. FELT LIKE WILL SMITH IN INDEPENDANCE DAY,"yes, evacuated"
1926,MS,jackson county,6,,,,,,,,"no, did not evacuate"
1927,LA,jefferson parish,21,"tried to leave, but returned home because of traffic",,,,,,,"no, did not evacuate"
1928,LA,orleans parish,,,,,advice or order by public safety officials,,,,"yes, evacuated"
1929,LA,st. bernard parish,,,,,probability (odds) were high that the storm could hit,,,,"yes, evacuated"
1930,LA,plaquemines parish,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
1931,LA,orleans parish,,,,,concerned that storm might hit,,,,"yes, evacuated"
1932,LA,st. john the baptist parish,,,,,concerned strong winds would make house unsafe,concerned flooding would cut off roads ,,,"yes, evacuated"
1933,LA,st. bernard parish,6,,,,,,,,"no, did not evacuate"
1934,MS,hancock county,6,,,,,,,,"no, did not evacuate"
1935,AL,mobile county,,,,,experience in other storms,,,,"yes, evacuated"
1936,MS,jackson county,,,,,concerned storm would cause home to flood,probability (odds) were high that the storm could hit,,,"yes, evacuated"
1937,AL,baldwin county,,,,,advice-order from police officer or fire fighter,,,,"yes, evacuated"
1938,MS,harrison county,,,,,concerned that storm might hit,,,,"yes, evacuated"
1939,LA,jefferson parish,,,,,concerned that storm might hit,probability (odds) were high that the storm could hit,advice or order by elected officials,,"yes, evacuated"
1940,LA,st. charles parish,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
1941,LA,st. charles parish,,,,,advice or order by elected officials,,,,"yes, evacuated"
1942,LA,jefferson parish,,,,,advice from friend or relative,,,,"yes, evacuated"
1943,LA,jefferson parish,22,,,,,,,,"no, did not evacuate"
1944,MS,harrison county,,,,,advice or order by elected officials,advice or order by public safety officials,advice from national weather service,,"yes, evacuated"
1945,MS,jackson county,6,,,,,,,,"no, did not evacuate"
1946,LA,plaquemines parish,,,,,experience in other storms,,,,"yes, evacuated"
1947,LA,st. bernard parish,,,,,advice or order by elected officials,advice from the media,,,"yes, evacuated"
1948,AL,mobile county,,,,,advice or order by public safety officials,,,,"yes, evacuated"
1949,LA,plaquemines parish,1,,,,,,,,"no, did not evacuate"
1950,LA,orleans parish,21,,,,,,,,"no, did not evacuate"
1951,LA,st. bernard parish,21,,,,,,,,"no, did not evacuate"
1952,MS,jackson county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1953,LA,st. john the baptist parish,,,,,experience in other storms,,,,"yes, evacuated"
1954,MS,jackson county,18,,,,,,,,"no, did not evacuate"
1955,LA,st. bernard parish,,,,,"other, specify",,,SHE DIDNT WANT TO BE ALONE,"yes, evacuated"
1956,LA,st. john the baptist parish,,,,,advice from the media,,,,"yes, evacuated"
1957,LA,st. bernard parish,,,,,information about the severity of the storm,concerned storm would cause home to flood,,,"yes, evacuated"
1958,MS,harrison county,,,,,"other, specify",,,I HAD MY GRANDKIDS WITH ME,"yes, evacuated"
1959,MS,hancock county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
1960,MS,jackson county,,,,,information about the severity of the storm,,,,"yes, evacuated"
1961,LA,jefferson parish,,,,,advice or order by elected officials,advice from friend or relative,concerned strong winds would make house unsafe,,"yes, evacuated"
1962,MS,hancock county,,,,,advice from the media,advice or order by public safety officials,,,"yes, evacuated"
1963,LA,st. tammany parish,28,,,,,,,,"no, did not evacuate"
1964,MS,hancock county,6,,,,,,,,"no, did not evacuate"
1965,LA,jefferson parish,29,,,I DIDN'T FEEL IT WOULD AFFECT ME,,,,,"no, did not evacuate"
1966,AL,baldwin county,,,,,advice or order by elected officials,concerned strong winds would make house unsafe,,,"yes, evacuated"
1967,LA,st. bernard parish,,,,,advice from the media,,,,"yes, evacuated"
1968,LA,st. charles parish,,,,,advice or order by elected officials,,,,"yes, evacuated"
1969,MS,jackson county,12,,,,,,,,"no, did not evacuate"
1970,LA,st. bernard parish,28,,,,,,,,"no, did not evacuate"
1971,AL,mobile county,29,,,JUST DESIDED NOT TO GO,,,,,"no, did not evacuate"
1972,MS,harrison county,,,,,concerned that storm might hit,probability (odds) were high that the storm could hit,experience in other storms,,"yes, evacuated"
1973,LA,plaquemines parish,,,,,concerned that storm might hit,,,,"yes, evacuated"
1974,LA,orleans parish,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
1975,LA,orleans parish,,,,,advice from the media,,,,"yes, evacuated"
1976,AL,mobile county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
1977,LA,jefferson parish,,,,,concerned that storm might hit,,,,"yes, evacuated"
1978,LA,st. charles parish,13,,,,,,,,"no, did not evacuate"
1979,LA,jefferson parish,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
1980,LA,st. john the baptist parish,21,,,,,,,,"no, did not evacuate"
1981,LA,st. john the baptist parish,6,,,,,,,,"no, did not evacuate"
1982,LA,plaquemines parish,21,,,,,,,,"no, did not evacuate"
1983,MS,hancock county,18,,,,,,,,"no, did not evacuate"
1984,MS,hancock county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
1985,LA,st. bernard parish,29,,,TRAFFIC INFORMATION WAS THE MAIN PORBLEM,,,,,"no, did not evacuate"
1986,AL,baldwin county,15,,,,,,,,"no, did not evacuate"
1987,LA,orleans parish,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
1988,AL,mobile county,,,,,concerned that storm might hit,,,,"yes, evacuated"
1989,MS,jackson county,,,,,"other, specify",,,WE HAD A TRIP PLAN ALREADY AROUND THAT TIME,"yes, evacuated"
1990,MS,harrison county,11,storm wasn't severe enough to be dangerous even if it hit,,,,,,,"no, did not evacuate"
1991,MS,jackson county,5,probabilities indicated low chance of a hit,house is well built (strong enough to be safe in storm),,,,,,"no, did not evacuate"
1992,LA,st. bernard parish,,,,,experience in other storms,,,,"yes, evacuated"
1993,AL,baldwin county,4,,,,,,,,"no, did not evacuate"
1994,LA,st. charles parish,12,,,,,,,,"no, did not evacuate"
1995,LA,st. john the baptist parish,21,,,,,,,,"no, did not evacuate"
1996,MS,jackson county,,,,,advice from national weather service,,,,"yes, evacuated"
1997,LA,st. bernard parish,18,,,,,,,,"no, did not evacuate"
1998,LA,orleans parish,29,,,DIDNT WANT TO,,,,,"no, did not evacuate"
1999,LA,st. tammany parish,7,,,,,,,,"no, did not evacuate"
2000,MS,harrison county,,,,,concerned that storm might hit,,,,"yes, evacuated"
2001,AL,mobile county,,,,,concerned flooding would cut off roads ,,,,"yes, evacuated"
2002,LA,jefferson parish,,,,,concerned storm would cause home to flood,forecast indicated storm would hit,advice or order by elected officials,,"yes, evacuated"
2003,MS,hancock county,24,,,,,,,,"no, did not evacuate"
2004,MS,harrison county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
2005,LA,jefferson parish,,,,,advice from the media,,,,"yes, evacuated"
2006,LA,orleans parish,,,,,"other, specify",,,FAMILY SAFETY,"yes, evacuated"
2007,LA,plaquemines parish,,,,,experience in other storms,,,,"yes, evacuated"
2008,LA,st. john the baptist parish,1,,,,,,,,"no, did not evacuate"
2009,LA,st. charles parish,,,,,information about the severity of the storm,,,,"yes, evacuated"
2010,MS,hancock county,29,,,HAVE LIVESTOCK IN PROPERTY ANN COULD NOT GET TO TRANSPORT ELSE WHERE,,,,,"no, did not evacuate"
2011,LA,st. bernard parish,21,,,,,,,,"no, did not evacuate"
2012,MS,jackson county,6,have household member who is elderly or has special needs,,,,,,,"no, did not evacuate"
2013,LA,st. bernard parish,6,,,,,,,,"no, did not evacuate"
2014,LA,jefferson parish,,,,,"other, specify",,,BECAUSE OF FLOODING WATER.,"yes, evacuated"
2015,MS,jackson county,,,,,advice or order by elected officials,,,,"yes, evacuated"
2016,AL,baldwin county,29,,,FAR ENOUGH AWAY FROM COASTLINE,,,,,"no, did not evacuate"
2017,LA,st. tammany parish,29,,,WE NEVER LEAVE,,,,,"no, did not evacuate"
2018,LA,plaquemines parish,,,,,information about the severity of the storm,,,,"yes, evacuated"
2019,AL,mobile county,29,,,JUST DESIDED TO STAY,,,,,"no, did not evacuate"
2020,AL,baldwin county,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
2021,LA,jefferson parish,,,,,"other, specify",,,MY WIFE CONVINCED ME,"yes, evacuated"
2022,MS,hancock county,6,,,,,,,,"no, did not evacuate"
2023,LA,jefferson parish,29,,,RELATIVES REFUSED TO LEAVE,,,,,"no, did not evacuate"
2024,LA,st. john the baptist parish,1,,,,,,,,"no, did not evacuate"
2025,LA,st. charles parish,,,,,advice or order by elected officials,advice-order from police officer or fire fighter,,,"yes, evacuated"
2026,MS,jackson county,4,,,,,,,,"no, did not evacuate"
2027,MS,harrison county,25,wanted to protect property from storm,,,,,,,"no, did not evacuate"
2028,LA,st. bernard parish,11,,,,,,,,"no, did not evacuate"
2029,LA,st. bernard parish,21,storm wasn't severe enough to be dangerous even if it hit,,,,,,,"no, did not evacuate"
2030,MS,harrison county,,,,,forecast indicated storm would hit,advice or order by public safety officials,advice from national weather service,,"yes, evacuated"
2031,LA,st. bernard parish,,,,,concerned that storm might hit,,,,"yes, evacuated"
2032,LA,st. tammany parish,6,,,,,,,,"no, did not evacuate"
2033,LA,st. john the baptist parish,1,,,,,,,,"no, did not evacuate"
2034,LA,st. charles parish,,,,,advice or order by elected officials,,,,"yes, evacuated"
2035,LA,jefferson parish,30,,,,,,,,"no, did not evacuate"
2036,LA,plaquemines parish,6,,,,,,,,"no, did not evacuate"
2037,MS,harrison county,6,,,,,,,,"no, did not evacuate"
2038,LA,jefferson parish,,,,,concerned that storm might hit,concerned strong winds would make house unsafe,,,"yes, evacuated"
2039,MS,jackson county,,,,,"other, specify",,,JOB REQUIRED ME TO STAY,"yes, evacuated"
2040,AL,baldwin county,,,,,information about the severity of the storm,concerned that storm might hit,,,"yes, evacuated"
2041,LA,jefferson parish,5,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
2042,LA,st. john the baptist parish,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
2043,MS,jackson county,,,,,information about the severity of the storm,,,,"yes, evacuated"
2044,AL,baldwin county,6,home is elevated above the level of storm surge,,,,,,,"no, did not evacuate"
2045,LA,st. charles parish,,,,,"other, specify",,,"HAD ELDERLY PARENTS AND WE WERE CONCERNED ABOUT THEM,","yes, evacuated"
2046,MS,hancock county,,,,,concerned that storm might hit,,,,"yes, evacuated"
2047,LA,jefferson parish,29,,,RATHER JUST STAY AT HOME,,,,,"no, did not evacuate"
2048,LA,st. bernard parish,13,,,,,,,,"no, did not evacuate"
2049,LA,orleans parish,30,,,,,,,,"no, did not evacuate"
2050,LA,st. tammany parish,1,,,,,,,,"no, did not evacuate"
2051,LA,orleans parish,27,"other, specify:____",,I FEEL SAFE IN MY HOME,,,,,"no, did not evacuate"
2052,MS,hancock county,17,,,,,,,,"no, did not evacuate"
2053,MS,jackson county,,,,,concerned that storm might hit,,,,"yes, evacuated"
2054,AL,mobile county,30,,,,,,,,"no, did not evacuate"
2055,LA,orleans parish,,,,,advice or order by public safety officials,,,,"yes, evacuated"
2056,LA,st. john the baptist parish,,,,,advice from national weather service,advice from the media,,,"yes, evacuated"
2057,LA,st. john the baptist parish,1,,,,,,,,"no, did not evacuate"
2058,AL,mobile county,18,,,,,,,,"no, did not evacuate"
2059,MS,harrison county,7,evacuation notice from officials came too late,,,,,,,"no, did not evacuate"
2060,MS,harrison county,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
2061,LA,st. charles parish,30,,,,,,,,"no, did not evacuate"
2062,LA,st. bernard parish,29,,,JUST WANTED TO STAY,,,,,"no, did not evacuate"
2063,LA,jefferson parish,21,house is well built (strong enough to be safe in storm),"other, specify:____",FAMILY CAME TO HER HOUSE,,,,,"no, did not evacuate"
2064,LA,plaquemines parish,,,,,experience in other storms,,,,"yes, evacuated"
2065,LA,st. bernard parish,,,,,concerned storm would cause home to flood,concerned strong winds would make house unsafe,,,"yes, evacuated"
2066,MS,jackson county,,,,,concerned that storm might hit,,,,"yes, evacuated"
2067,MS,jackson county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
2068,MS,jackson county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
2069,LA,jefferson parish,,,,,"other, specify",,,DECIDED TO TAKE A FEW DAYS OFF NO REASON TO BE WORRYING ABOUT HURRICANE.,"yes, evacuated"
2070,LA,plaquemines parish,,,,,advice or order by public safety officials,,,,"yes, evacuated"
2071,LA,st. bernard parish,,,,,advice from national weather service,,,,"yes, evacuated"
2072,LA,st. charles parish,,,,,advice from the media,,,,"yes, evacuated"
2073,LA,orleans parish,,,,,"other, specify",,,"MY SON WAS ON DUTY, SO I WENT TO HIM","yes, evacuated"
2074,AL,mobile county,,,,,"other, specify",,,SURROUNDED BY WATER,"yes, evacuated"
2075,LA,st. bernard parish,,,,,advice from the media,,,,"yes, evacuated"
2076,LA,st. tammany parish,29,,,I AM AN AMATEUR METEOROLOGIST,,,,,"no, did not evacuate"
2077,LA,st. charles parish,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
2078,MS,hancock county,,,,,advice from national weather service,,,,"yes, evacuated"
2079,MS,jackson county,,,,,advice or order by elected officials,,,,"yes, evacuated"
2080,LA,st. john the baptist parish,6,,,,,,,,"no, did not evacuate"
2081,AL,baldwin county,14,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
2082,AL,baldwin county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
2083,MS,hancock county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
2084,MS,jackson county,5,,,,,,,,"no, did not evacuate"
2085,MS,harrison county,,,,,advice or order by elected officials,advice-order from police officer or fire fighter,,,"yes, evacuated"
2086,LA,st. bernard parish,21,,,,,,,,"no, did not evacuate"
2087,MS,harrison county,21,,,,,,,,"no, did not evacuate"
2088,MS,jackson county,,,,,don't know,,,,"yes, evacuated"
2089,LA,plaquemines parish,,,,,forecast indicated storm could hit,concerned storm would cause home to flood,,,"yes, evacuated"
2090,LA,st. bernard parish,19,,,,,,,,"no, did not evacuate"
2091,LA,jefferson parish,,,,,forecast indicated storm would hit,concerned strong winds would make house unsafe,,,"yes, evacuated"
2092,LA,orleans parish,18,,,,,,,,"no, did not evacuate"
2093,AL,mobile county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
2094,MS,harrison county,,,,,concerned storm would cause home to flood,"other, specify",,LIVE BY A RIVER.,"yes, evacuated"
2095,AL,mobile county,,,,,"other, specify",,,HERE ALONE,"yes, evacuated"
2096,LA,st. charles parish,,,,,forecast indicated storm could hit,,,,"yes, evacuated"
2097,AL,mobile county,18,,,,,,,,"no, did not evacuate"
2098,LA,jefferson parish,,,,,forecast indicated storm would hit,probability (odds) were high that the storm could hit,,,"yes, evacuated"
2099,LA,st. bernard parish,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
2100,LA,st. charles parish,,,,,advice-order from police officer or fire fighter,,,,"yes, evacuated"
2101,AL,baldwin county,29,,,ITS MY HOME,,,,,"no, did not evacuate"
2102,LA,st. tammany parish,9,,,,,,,,"no, did not evacuate"
2103,LA,st. bernard parish,29,,,MY JOB,,,,,"no, did not evacuate"
2104,AL,mobile county,6,,,,,,,,"no, did not evacuate"
